TCM_ID,SMILES
MOL006507,C=C1CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2[C@]1(C)O
MOL002817,CC(=O)c1ccc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1
MOL003705,CO[C@@H]1C[C@@H]2[C@H](O)[C@H](Cl)[C@@]3(O)CO[C@H](O1)[C@@H]23
MOL001738,O=C(O)CC(=O)O
MOL009308,C[C@@H]1O[C@@H](Oc2c(-c3ccc(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)[C@@H](O)[C@H](O)[C@@H]1O
MOL010579,CO[C@@H]1O[C@H](C(=O)O)[C@H](O[C@@H]2O[C@@H](C(=O)O)[C@H](OC)[C@@H](O)[C@H]2O)[C@@H](O)[C@H]1O
MOL012544,O=C1C[C@H](c2ccc(O)cc2)Oc2c1c(O)cc(O)c2[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
MOL000980,CC(C)=CC/C=C(/C)[C@@H]1CC=C(C)CC1
MOL006157,O=C1c2ccccc2C(=O)c2c(O)c(O)cc(O)c21
MOL001692,OC[C@@]1(O)CO[C@@H](O)[C@@H]1O
MOL003355,COc1cc(C[C@]2(O)CO[C@@H](c3ccc(O)c(OC)c3)[C@@H]2CO)ccc1O
MOL001368,O=C(/C=C\c1ccc(O)cc1)O[C@H]1C[C@@](O)(C(=O)O)C[C@@H](O)[C@@H]1O
MOL004490,C[C@H]1CC[C@@]2(OC1)O[C@H]1C[C@H]3[C@@H]4CC=C5C[C@@H](O[C@@H]6O[C@H](CO)[C@H](O[C@@H]7O[C@H](CO)[C@@H](O)[C@H](O[C@@H]8OC[C@@H](O)[C@H](O)[C@H]8O)[C@H]7O[C@@H]7O[C@H](CO)[C@@H](O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)C[C@]5(C)[C@@H]4CC[C@]3(C)[C@H]1[C@@H]2C
MOL010083,Oc1cccc2ccccc12
MOL009758,O=C(/C=C/c1ccc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1)c1ccc(O)cc1O
MOL011738,CCOC(=O)[C@H]1CCC(=O)[C@@H]1CC(=O)c1ccco1
MOL007316,O=C(/C=C/c1ccc(O)c(O)c1)O[C@@H]1C[C@](O)(C(=O)O)C[C@@H](OC(=O)/C=C/c2ccc(O)c(O)c2)[C@@H]1O
MOL000129,CCCCCCCCOC(C)=O
MOL002114,CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)C[C@H](O)[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1
MOL008519,C[C@H]1CC[C@@]2(OC1)O[C@H]1C[C@H]3[C@@H]4CC[C@H]5C[C@@H](O)CC[C@]5(C)[C@H]4CC[C@]3(C)[C@H]1[C@@H]2C
MOL013355,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(\C)C=O)C(C)(C)CCC1
MOL011368,O=C1C=C2C=C[C@H](O)[C@@H](O)[C@@H]2O1
MOL006854,C[C@@H]1CC[C@]2(NC1)O[C@H]1C[C@H]3[C@@H]4CC=C5C[C@@H](O)CC[C@]5(C)[C@H]4CC[C@]3(C)[C@H]1[C@@H]2C
MOL004869,CC(C)=CCc1c(O)cc(O)c(CC=C(C)C)c1CCc1ccc(O)c(O)c1
MOL000083,C/C(C=O)=C\CC/C(C)=C/CO
